Example,Label,PC1,PC2
0,certain,0.23157491,-0.29283816
1,certain,0.060902458,-0.7178252
2,certain,0.08058343,-0.2611286
3,certain,-0.22911449,-0.5149962
4,certain,-0.046266157,-0.34081376
5,certain,0.5108579,-0.36733618
6,certain,0.26938677,0.07784828
7,certain,0.034526873,-0.12456248
8,certain,-0.3168706,-0.20459883
9,certain,0.0880902,0.0075601675
10,certain,0.5765996,0.67709816
11,certain,-0.4442901,0.26239341
12,certain,0.4880426,-1.0367687
13,certain,0.50430596,-0.39961818
14,certain,0.23314902,-0.4816588
15,certain,0.28205144,-0.9787537
16,certain,0.34825552,-0.26669717
17,certain,0.21509776,-0.3347341
18,certain,-0.58472735,-0.3757195
19,certain,-0.41133592,-0.2483712
20,certain,-0.18111414,-0.23916875
21,certain,0.42154327,0.86679137
22,certain,0.16642375,-0.110105574
23,certain,0.2546593,-0.08620084
24,certain,-0.010746043,0.122707956
25,certain,0.7860677,0.6351198
26,certain,0.21873048,0.19990589
27,certain,0.36119312,0.5362034
28,certain,0.6110153,0.72149885
29,certain,-0.13625585,-0.09385702
30,certain,-0.23393564,0.1632521
31,certain,0.12180283,0.34079203
32,certain,0.036328945,0.26643202
33,certain,-0.0073479926,0.24200717
34,certain,0.09404543,0.18222605
35,certain,0.8057228,0.70070744
36,certain,0.1900968,0.49057052
37,certain,-0.33519155,0.08545945
38,certain,0.31629053,0.21024477
39,certain,-0.18397722,-0.020684099
40,certain,0.23773217,0.011421926
41,certain,0.2654244,0.024833273
42,certain,-0.058580033,0.0763856
43,certain,0.090861194,-0.14429125
44,certain,0.065675765,0.10885569
45,certain,-0.45355782,-0.35333312
46,certain,0.1801954,0.16010961
47,certain,0.86881304,-0.059677605
48,certain,-0.12881014,-0.018722799
49,certain,-0.2749236,0.15161937
50,certain,0.06740722,-0.24263096
51,certain,1.0106227,0.51572216
52,certain,0.22910258,0.12394032
53,certain,1.1835034,0.40555987
54,certain,0.3816454,-0.34417284
55,certain,-0.081042305,0.14616527
56,certain,0.088319615,0.24206258
57,certain,0.05041369,0.119999565
58,certain,-0.15873611,-0.6456867
59,certain,0.038083002,-0.10253391
60,certain,-0.119691454,-0.059408765
61,certain,1.1963081,0.46399865
62,certain,-0.37449488,-0.34695977
63,certain,-0.36756685,0.06284286
64,certain,0.16569547,0.38911906
65,certain,-0.46769613,-0.25175977
66,certain,-0.59924597,0.09763015
67,certain,0.19076526,-0.31753933
68,certain,-0.1942895,-0.13635735
69,certain,0.17111592,0.05440668
70,certain,0.24146558,0.20342423
71,certain,-0.23631208,-0.28757426
72,certain,0.11660146,0.13782169
73,certain,0.018510155,-0.38298604
74,certain,-0.09080254,-0.008094302
75,certain,0.28299046,-0.481369
76,certain,-0.06637854,0.041970886
77,certain,-0.27411503,-0.2961262
78,certain,-0.11977324,-0.031542562
79,certain,-0.13391808,-0.20389694
80,certain,-0.1507396,-0.44597968
81,certain,-0.31395733,-0.121857084
82,certain,-0.14820413,-0.26059473
83,certain,0.13300908,-0.18227836
84,certain,0.11258418,-0.37138537
85,certain,0.15910421,-0.686007
86,certain,0.2121352,-0.20418248
87,certain,0.020437438,-0.60194296
88,certain,-0.021399477,-0.24009618
89,certain,0.24046996,-0.22886653
90,certain,0.69589704,-0.324956
91,certain,0.24322978,-0.55361736
92,certain,0.45308134,-0.0055230064
93,certain,0.25912356,-0.56322247
94,certain,0.3064583,-0.36010158
95,certain,0.5088245,0.1296909
96,certain,-0.3160882,0.48525444
97,certain,0.4101755,1.0351182
98,certain,0.29444948,-0.39043874
99,certain,0.3762923,-0.03419304
100,certain,0.3168305,-0.23820588
101,certain,-0.21293172,-0.485261
102,certain,0.22021252,-0.1393304
103,certain,-0.12407892,-0.5520965
104,certain,-0.32783774,-0.2824974
105,certain,-0.27102384,-0.4199006
106,certain,0.013204183,-0.37633097
107,certain,0.33529538,-0.78188354
108,certain,0.2922078,-0.16451044
109,certain,-0.14269528,-0.22663717
110,certain,-0.30879012,0.15446363
111,certain,-0.10674928,-0.24372427
112,certain,-0.13606705,0.036337707
113,certain,-0.3406625,-0.2033586
114,certain,-0.39058837,0.022292525
115,certain,-0.30936405,-0.34475902
116,certain,-0.25445005,0.17308688
117,certain,-0.58422416,0.06740359
118,certain,0.61873555,0.73468935
119,certain,0.0032232024,-0.24660009
120,certain,-0.39937064,-0.04147826
121,certain,0.545248,-0.6380581
122,certain,0.5264211,-0.71465683
123,certain,0.5844293,-0.61787087
124,certain,0.26052973,-0.80278736
125,certain,0.009822834,0.33310995
126,certain,-0.14310847,0.1830549
127,certain,-0.2429307,-0.3023025
128,certain,-0.31581244,-0.1373339
129,certain,-0.3107201,-0.32476315
130,certain,-0.21373698,0.06772709
131,certain,-0.13111694,0.2255042
132,certain,-0.5643113,0.13595697
133,certain,0.83116746,-0.37828356
134,certain,-0.5542713,-0.026111284
135,certain,-0.5478052,0.105127744
136,certain,-0.40086755,0.37459406
137,certain,-0.45950857,0.05549986
138,certain,0.042671822,0.25717628
139,certain,-0.43590668,-0.019948628
140,certain,0.027888216,-0.21710095
141,certain,-0.20183498,0.17618488
142,certain,0.7774076,-0.43243566
143,certain,0.26402125,-0.40590018
144,certain,0.12236932,-0.44561398
145,certain,-0.011769128,-0.65239745
146,certain,-0.12636934,-0.2631257
147,certain,0.8909641,-0.045260288
148,certain,-0.1940841,0.3001857
149,certain,-0.55322844,0.021417066
150,certain,-0.2892955,0.3848119
151,certain,-0.4712902,0.13455255
152,certain,-0.74850917,0.15413477
153,certain,-0.41399303,-0.114667304
154,certain,-0.27407056,-0.025925525
155,certain,0.6324932,0.5293813
156,certain,0.58644456,-0.88683474
157,certain,0.5799761,-0.54268265
158,certain,0.62052315,-1.0613388
159,certain,0.5694371,-0.55084175
160,certain,0.55771565,-0.41891873
161,certain,-0.4634043,-0.20885266
162,certain,-0.35393777,-0.36044037
163,certain,-0.22054264,-0.31757537
164,certain,-0.39906773,-0.06552033
165,certain,-0.039707847,0.22405332
166,certain,0.701028,0.652701
167,certain,-0.28428528,-0.09532458
168,certain,-0.29918128,0.02396336
169,certain,0.04530118,0.22526811
170,certain,0.06667703,0.29507613
171,certain,-0.19153644,0.17464478
172,certain,-0.23645246,0.23433794
173,certain,-0.27780133,0.18563524
174,certain,-0.43393987,-0.08931343
175,certain,-0.2330359,-0.17663473
176,certain,-0.2599755,-0.18753329
177,certain,-0.22128008,-0.36340046
178,certain,0.104901604,-0.30964264
179,certain,-0.21309529,-0.19779553
180,certain,0.2260427,-0.6550212
181,certain,0.48191085,-0.8306669
182,certain,-0.07111906,-0.2815513
183,manipulated_1,1.0469252,0.7006035
184,manipulated_1,1.1454146,0.51966435
185,manipulated_1,1.0875502,0.53113854
186,manipulated_1,-0.5703399,0.0047691134
187,manipulated_1,-0.4332672,-0.30109203
188,manipulated_1,-0.4433019,-0.2586595
189,manipulated_1,-0.25721073,0.15628074
190,manipulated_1,0.105407424,0.20686123
191,manipulated_1,0.11977905,0.086074464
192,manipulated_1,-0.3666417,0.1070264
193,manipulated_1,-0.46187386,0.18759438
194,manipulated_1,-0.28763053,0.19100355
195,manipulated_1,-0.06769466,-0.30758837
196,manipulated_1,-0.11261628,-0.12101156
197,manipulated_1,-0.05319822,-0.18436135
198,manipulated_1,-0.091100164,0.04999549
199,manipulated_1,-0.28910142,-0.013124856
200,manipulated_1,-0.07880031,0.027745742
201,manipulated_1,-0.15812692,-0.06127225
202,manipulated_1,0.13467006,0.03719421
203,manipulated_1,0.20905365,-0.030897452
204,manipulated_1,-0.5175807,0.32695794
205,manipulated_1,-0.45149413,0.23222224
206,manipulated_1,-0.30996388,0.2772321
207,manipulated_1,-0.47990596,0.3677119
208,manipulated_1,-0.08311307,0.25519705
209,manipulated_1,-0.119942345,0.47813013
210,manipulated_1,0.4532942,0.92772716
211,manipulated_1,0.67702496,0.6835196
212,manipulated_1,0.55487597,0.8437582
213,manipulated_1,0.5339817,-0.5330467
214,manipulated_1,0.4433698,-0.68391514
215,manipulated_1,0.43661967,-0.6763138
216,manipulated_2,0.82762814,0.6642012
217,manipulated_2,0.8687043,0.87745357
218,manipulated_2,0.96528316,0.6256874
219,manipulated_2,-0.6919682,0.01398058
220,manipulated_2,-0.68259037,0.06047452
221,manipulated_2,-0.5587815,-0.24223351
222,manipulated_2,-0.39572775,0.2322168
223,manipulated_2,-0.33024508,0.16669647
224,manipulated_2,0.05111104,0.25868338
225,manipulated_2,-0.69131666,0.27976498
226,manipulated_2,-0.49052027,0.34431452
227,manipulated_2,-0.4640631,0.5201492
228,manipulated_2,-0.32239,-0.021714484
229,manipulated_2,-0.20969056,-0.059461817
230,manipulated_2,-0.37544417,-0.0066817165
231,manipulated_2,-0.52452075,0.16421075
232,manipulated_2,-0.18750711,0.26903796
233,manipulated_2,-0.37317574,0.21639356
234,manipulated_2,-0.3379263,0.17747575
235,manipulated_2,-0.22801337,0.12920891
236,manipulated_2,0.03799723,0.18045864
237,manipulated_2,-0.7882432,0.4571495
238,manipulated_2,-0.6837347,0.45338035
239,manipulated_2,-0.60275924,0.31776494
240,manipulated_2,-0.45854896,0.42833048
241,manipulated_2,-0.60260147,0.57870305
242,manipulated_2,-0.15363787,0.52741957
243,manipulated_2,0.4325621,1.040546
244,manipulated_2,0.23166656,1.1199281
245,manipulated_2,0.5230284,0.90802646
246,manipulated_2,0.47801906,-0.43583682
247,manipulated_2,0.440286,-0.45207423
248,manipulated_2,0.3541288,-0.5901563
249,manipulated_3,0.5779315,0.7884084
250,manipulated_3,-0.80298096,0.17767617
251,manipulated_3,-0.49389416,0.24963088
252,manipulated_3,-0.73294294,0.71065503
253,manipulated_3,-0.48868322,0.18959817
254,manipulated_3,-0.6624054,0.3997125
255,manipulated_3,-0.42920285,0.2674362
256,manipulated_3,-1.2125818,0.40569994
257,manipulated_3,-0.5248237,0.6498534
258,manipulated_3,0.21161273,1.1675042
259,manipulated_3,0.4401649,-0.15859592
